Tractor Name,Year,Hours,Company,Company URL,URL
Case IH Puma 220,2020,4370h,,"https://www.mascus.co.ukhttps://www.mascus.co.uk/townson-tractors-ltd/7939e304,1,relevance,searchdealer.html",https://www.mascus.co.uk/agriculture/tractors/case-ih-puma-220/lioixjwi.html
Case IH Puma 175 CVX,2018,2830h,,"https://www.mascus.co.ukhttps://www.mascus.co.uk/cg-machinery/a4631113,1,relevance,searchdealer.html",https://www.mascus.co.uk/agriculture/tractors/case-ih-puma-175-cvx/udukmlpj.html
Case IH Puma 185 CVX,2017,7792h,,"https://www.mascus.co.ukhttps://www.mascus.co.uk/cg-machinery/a4631113,1,relevance,searchdealer.html",https://www.mascus.co.uk/agriculture/tractors/case-ih-puma-185-cvx/snwgnowf.html
Case IH Puma 150,2018,5100h,,"https://www.mascus.co.ukhttps://www.mascus.co.uk/a-m-group/c80ca05d,1,relevance,searchdealer.html",https://www.mascus.co.uk/agriculture/tractors/case-ih-puma-150/lcvkmnqf.html
Case IH Puma 200 CVX,2021,4227h,,"https://www.mascus.co.ukhttps://www.mascus.co.uk/mark-hellier-tractors-se-ltd/165669e7,1,relevance,searchdealer.html",https://www.mascus.co.uk/agriculture/tractors/case-ih-puma-200-cvx/yhtouqve.html
Case IH Puma 240 CVX,2021,4882h,,"https://www.mascus.co.ukhttps://www.mascus.co.uk/cg-machinery/a4631113,1,relevance,searchdealer.html",https://www.mascus.co.uk/agriculture/tractors/case-ih-puma-240-cvx/zqznvewi.html
Case IH Puma 145,2014,4948h,,"https://www.mascus.co.ukhttps://www.mascus.co.uk/cg-machinery/a4631113,1,relevance,searchdealer.html",https://www.mascus.co.uk/agriculture/tractors/case-ih-puma-145/sptlqkth.html
Case IH Puma 240 CVX,2021,1974h,,"https://www.mascus.co.ukhttps://www.mascus.co.uk/morgan-machinery-ltd/7be8639a,1,relevance,searchdealer.html",https://www.mascus.co.uk/agriculture/tractors/case-ih-puma-240-cvx/zpveojxp.html
Case IH Puma 150,2018,4860h,,"https://www.mascus.co.ukhttps://www.mascus.co.uk/townson-tractors-ltd/7939e304,1,relevance,searchdealer.html",https://www.mascus.co.uk/agriculture/tractors/case-ih-puma-150/zmtjtipf.html
Case IH Puma 240,2021,4520h,,"https://www.mascus.co.ukhttps://www.mascus.co.uk/morgan-machinery-ltd/7be8639a,1,relevance,searchdealer.html",https://www.mascus.co.uk/agriculture/tractors/case-ih-puma-240/yjnjpjrg.html
Case IH Puma 240 CVX,2024,"Chipping Norton, Oxfordshire, UK",,"https://www.mascus.co.ukhttps://www.mascus.co.uk/kfs-krone-forage-solutions/6a27714a,1,relevance,searchdealer.html",https://www.mascus.co.uk/agriculture/tractors/case-ih-puma-240-cvx/tktkymto.html
Case IH Puma 160,2015,5750h,,"https://www.mascus.co.ukhttps://www.mascus.co.uk/m-m-plant-devon-cornwall-ltd/74f5f548,1,relevance,searchdealer.html",https://www.mascus.co.uk/agriculture/tractors/case-ih-puma-160/lcmovpzo.html
Case IH Puma 155,2011,3860h,,"https://www.mascus.co.ukhttps://www.mascus.co.uk/doubleday-holbeach/4b3b05cf,1,relevance,searchdealer.html",https://www.mascus.co.uk/agriculture/tractors/case-ih-puma-155/0hojrcrd.html
